Episode,Timestep,Drone_X,Drone_Y,Drone_Z,Payload_X,Payload_Y,Payload_Z
2,26,1.4405915,6.7781895e-07,3.9445398,1.4406268596648875,8.596859474269129e-16,2.890785451507228
2,27,1.4405545,1.2105374e-06,3.9349484,1.4406268596649416,-1.3264900656277315e-15,2.8807631421048945
2,28,1.4404929,1.9651422e-06,3.9253168,1.440626859665142,-5.182908380701845e-15,2.8707134888007184
2,29,1.4403964,2.9778819e-06,3.9156752,1.440626859664441,1.90920425695597e-14,2.860694481188724
2,30,1.4402531,4.282007e-06,3.9060512,1.4406268596635923,1.4673898483334617e-14,2.8507553895368045
2,31,1.4400482,5.9093604e-06,3.8964698,1.4406268596696612,-1.4183390003765155e-13,2.8409348376399572
2,32,1.4397652,7.889672e-06,3.8869538,1.4406268596708798,-7.37009640663829e-15,2.831268481109349
2,33,1.4393847,1.0249652e-05,3.8775227,1.4406268596339058,8.170734561271906e-13,2.821785927194862
2,34,1.438885,1.3013294e-05,3.8681943,1.4406268596321703,-2.1437294582228828e-14,2.8125100753863546
2,35,1.4382421,1.6201893e-05,3.8589835,1.440626859838126,-4.161640908869235e-12,2.803468603246257
2,36,1.4374292,1.9833651e-05,3.8499029,1.440626859830325,-2.9382017886802716e-13,2.7946828921185833
2,37,1.4364173,2.3923682e-05,3.8409615,1.440626858933484,1.6781385748838334e-11,2.7861733122345704
2,38,1.435175,2.8483786e-05,3.8321664,1.4406268586850788,9.352807952976693e-12,2.7779652316137824
2,39,1.4336686,3.3522163e-05,3.8235204,1.4406268620629146,-5.374814754498106e-11,2.7700646048585313
2,40,1.4318633,3.904376e-05,3.815023,1.4406268648624223,-7.281874390587055e-11,2.762473825137053
2,41,1.4297255,4.5049637e-05,3.806669,1.4406268551487147,9.779302897587407e-11,2.7551829922518905
2,42,1.4272255,5.153797e-05,3.7984488,1.4406268405252038,2.9634671528693454e-10,2.74814154132962
2,43,1.4243366,5.8504487e-05,3.79035,1.44062684959948,1.2445364871218576e-10,2.7413280319429427
2,44,1.421035,6.594207e-05,3.7823586,1.4406268964446813,-5.466254679206223e-10,2.7347180670163964
