drone_x,drone_y,drone_z,num_wraps
-845.5962077636718,22.74137615585327,3958.048745808919,1.0
-847.2297526855468,23.452492310841876,3958.372883178711,1.0
-851.753719156901,23.902207607269283,3959.246499715169,1.0
-857.4121867675781,23.80622219467163,3960.440265991211,1.0
-863.1024536946614,23.4632707379659,3960.849445678711,1.0
-868.5673015136719,22.93714374923706,3957.2570628662106,1.0
-873.6764689941406,22.129529232025146,3954.4462474365237,1.0
-878.2918132324219,21.334939235687255,3956.5555736083984,1.0
-889.3111125488281,24.064989004770915,3945.622639038086,1.0
-923.7242391764321,33.11375736618042,3899.5368642985027,1.0
-972.5787720540364,60.58334659957887,3843.0050039469397,1.0
-1019.7371175944008,109.84465463383991,3831.9499909261067,1.0
-1046.183427001953,144.54434640630086,3845.8676748453777,1.0
-1103.723954345703,182.77244495773317,3872.284992553711,1.0
-1156.4149943847656,212.40939258956908,3918.021564819336,1.0
-1164.5555786946613,221.18383716964718,3909.706379272461,1.0
-1104.224686767578,207.38516163253783,3855.637531616211,1.0
-1002.5223145345053,173.99750192387899,3752.2877187906897,1.0
-839.6574463704427,118.10065133794147,3639.5915314534504,1.0
-629.1853801269531,23.990475887298583,3630.6989329833987,1.0
-476.98408618164063,-39.53978928502401,3697.8610627034504,1.0
-359.6051595865886,-96.20999980545045,3761.1098216552737,1.0
-304.39701953125,-134.1175544319153,3807.181232788086,1.0
-321.0236979980469,-147.27635264968873,3806.949787475586,1.0
-390.2968710123698,-134.60930959955851,3749.818724650065,1.0
-534.4084514160156,-83.60511394119263,3677.964631225586,1.0
-688.7131104329427,-25.186828698476152,3621.7506704508464,1.0
-864.1353312988281,42.68389820480348,3628.6785472412107,1.0
-1029.567195719401,115.47431365076702,3697.524820027669,1.0
-1127.2186646321613,169.7859133822123,3781.1691885172527,1.0
-1164.974442626953,196.66635059738158,3806.734699584961,1.0
-1147.7689169108073,197.8416791699728,3788.860187866211,1.0
-1073.9176799316406,174.94288563156127,3729.418293334961,1.0
-963.1916260579427,134.93181792322792,3664.2815338948567,1.0
-782.0676229654947,62.48205494308472,3609.2555939534504,1.0
-589.2346151529947,-25.66349864578247,3623.374592163086,1.0
-468.13360196940107,-88.84103974278767,3672.79152331543,1.0
-365.0784872233073,-147.17847769037883,3747.5338125406897,1.0
-330.52598681640626,-172.3383796272278,3783.457020141602,1.0
-351.32681892903645,-175.3034471728007,3772.0647370198567,1.0
-420.87160856119795,-153.13834707514445,3715.354654012044,1.0
0.705489013671875,-0.0519111213684082,2698.4235423583987,1.0
-728.7536784667968,-14.606096035003661,3603.31691394043,1.0
-888.9010783691406,65.36220478439331,3621.6683543701174,1.0
-1015.4510254720053,133.0276838086446,3673.1892487386067,1.0
-1099.2059286295573,187.89770435714718,3730.9327383219397,1.0
-1122.802811767578,211.90121387863158,3754.1547435302737,1.0
-1097.737382080078,209.04824248377477,3736.197101928711,1.0
-1023.2318889160157,179.29624866867064,3685.6541331787107,1.0
-893.683874593099,120.864564810435,3622.58019925944,1.0
-722.7664805908203,34.52755760574341,3596.720936157227,1.0
-575.1412313639322,-46.44583329137166,3618.790404337565,1.0
-458.7605957845052,-117.58735983149211,3674.092650431315,1.0
-382.68838610839845,-170.4215323982239,3735.4522593994143,1.0
-362.75813403320313,-192.9723670539856,3758.955158569336,1.0
-389.6847901204427,-187.6277625617981,3736.451008178711,1.0
-473.17202563476565,-151.71102367019654,3677.765131713867,1.0
-594.2893840332031,-89.67997813796997,3621.46974597168,1.0
-742.3843547363281,-7.757530933380127,3595.7304271240237,1.0
-885.7549724121093,76.74099659347534,3613.1970286865235,1.0
-1007.7415121256508,154.72552418136596,3665.24513659668,1.0
-1079.2518270670573,206.98512195968627,3714.263935424805,1.0
-1096.8450074055988,227.01012094243367,3733.488849975586,1.0
-1064.704423095703,219.05062794113158,3711.287861206055,1.0
-979.2132121582031,177.9830772819519,3657.6525462646487,1.0
-851.2339793701171,107.84796451950074,3604.777637817383,1.0
-708.5021525878906,21.670197719573974,3589.8531688232424,1.0
-568.409948811849,-68.05834905878703,3614.45167956543,1.0
-462.652146484375,-142.43336558914186,3666.1159048258464,1.0
-409.7798828938802,-186.8831438280741,3710.54982409668,1.0
-405.41009122721357,-199.93011038080851,3718.7726837972004,1.0
-441.72928474934895,-186.05780610020963,3692.211730021159,1.0
-520.471248453776,-144.42381358718873,3644.2726634521487,1.0
-645.8210002441406,-68.21658015823364,3597.9134410400393,1.0
-786.1037761230468,22.148901790618893,3587.043232299805,1.0
-915.1043254394531,111.65885853195192,3611.77541003418,1.0
-1018.7544719238281,187.58619617843627,3663.72023425293,1.0
-1069.0906840820312,230.78488468551637,3704.9894145507815,1.0
-1079.177048828125,250.1343872489929,3718.521732666016,1.0
